Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-G3-A5SM-01A-12R-A28V-07,0.025392635,0,0.053954598,0.04443364,0,0.097927676,0.006695729,0,0.093292005,0,0,0.048966777,0,0.271415077,0.117190745,0.085780326,0.039676743,0,0.086218482,0,0.025941509,0.003114057,0.067,0.14864821,1.03569308
TCGA-ED-A8O5-01A-11R-A36F-07,0.067386591,0,0,0.054951303,0,0.411334466,0.011250295,0.009840871,0,0,0.126369496,0,0.01490248,0.100599516,0.034606368,0.086168687,0.005538224,0,0.077051704,0,0,0,0.777,-0.015169304,1.109990879
TCGA-FV-A3R2-01A-11R-A22L-07,0.034619543,0,0.001937154,0.008950403,0,0.266470689,0.081143893,0,0.131280597,0,0.026478188,0,0.008559677,0.197445257,0.033698102,0.117343501,0.019992179,0,0,0.015233653,0,0.056847165,0.347,0.03844903,1.078258392
TCGA-DD-A116-01A-11R-A131-07,0.045740224,0,0.019444634,0.090657162,0,0.072937219,0.030880967,0,0.117474674,0,0.024517231,0.057704008,0.017026249,0.132226627,0.073931536,0.201349402,0.008407634,0,0.107702434,0,0,0,0.242,0.059647048,1.061183659
TCGA-DD-A39X-01A-11R-A213-07,0.039769284,0,0,0.145819011,0,0.199781687,0,0,0.060848182,0,0,0.029656327,0.008266924,0.11373209,0.046750528,0.238570509,0.087269082,0,0.029536375,0,0,0,0.635,-0.00010718,1.093052595
TCGA-2Y-A9H2-01A-12R-A38B-07,0.017075562,0,0.00103099,0.072412973,0,0.199765182,0,0.027684246,0.079478738,0,0.015070722,0.025911402,0.017587999,0.131770164,0.107365927,0.146604966,0.124086025,0.012821302,0.007774718,0,0,0.013559082,0.021,0.229862864,0.99690961
TCGA-CC-A9FS-01A-11R-A37K-07,0.029916831,0,0,0.13038675,0,0.24863307,0,0.061077706,0.065332065,0,0,0.070452523,0.015711099,0,0.086332459,0.210905191,0.066941548,0,0.014310759,0,0,0,0.846,-0.022043429,1.112533365
TCGA-XR-A8TD-01A-12R-A39D-07,0.016225213,0,0.088845201,0.243383752,0,0,0.150286618,0.014747127,0,0.028385981,0,0.026766045,0.001458142,0.148733855,0.093691597,0.133105575,0.020913836,0,0.023935927,0,0,0.009521132,0.009,0.331332628,0.947796472
TCGA-ZP-A9D2-01A-11R-A38B-07,0.004610616,0.028107408,0.048741338,0.033447286,0,0.291308764,0,0,0.044120429,0,0,0.01749199,0.037091452,0.105978078,0.109404417,0.222310088,0,0,0.041878603,0,0,0.015509532,0.094,0.12930928,1.036406564
TCGA-DD-A4NK-01A-11R-A28V-07,0.049980638,0,0,0.110838195,0,0.112188258,0,0.032516616,0.015863099,0,0.12068105,0.008785794,0.008381809,0.052731368,0.094941415,0.337413735,0.005812354,0,0.04986567,0,0,0,0.836,-0.020641043,1.108537832
TCGA-FV-A4ZP-01A-12R-A266-07,0.010685195,0.016306486,0,0.162783673,0,0,0,0.0487856,0.154385456,0,0,0.072477108,0.016037908,0.292375394,0.043799759,0.172414899,0.009948521,0,0,0,0,0,0.182,0.077762008,1.084085695
TCGA-DD-AAE2-01A-11R-A41C-07,0.048846797,0,0.026931445,0.227155691,0,0.088995196,0,0.037689647,0.023728259,0.057597064,0,0.051665957,0,0.030733386,0.209225967,0.139737716,0.027209121,0,0.030483754,0,0,0,0.041,0.187712541,1.043314575
TCGA-DD-A39Z-01A-11R-A213-07,0.030867965,0,0.002926119,0.277908103,0,0.257819605,0,0,0.067114519,0,0.056913804,0.071225723,0.014656532,0.022261968,0.05416742,0.088814432,0.009489277,0,0.045834532,0,0,0,0.866,-0.024386043,1.152023926
TCGA-5R-AA1D-01A-11R-A38B-07,0.039035797,0,0.100630038,0.038605586,0,0.364010065,0,0,0.06511818,0,0.024656475,0.004815743,0.018890725,0.006551667,0.058422988,0.156341431,0.038651849,0,0.084269455,0,0,0,0.325,0.043418907,1.060878315
TCGA-2Y-A9H7-01A-11R-A39D-07,0.016644057,0,0,0.175078192,0,0.333862068,0,0,0.06015478,0,0,0.054426918,0.0847015,0,0.030947172,0.078212445,0.123747481,0,0.038901188,0,0,0.003324198,0.88,-0.02627377,1.116464596
TCGA-CC-5264-01A-01R-A131-07,0.049790875,0,0.008545208,0.176733666,0,0.235883967,0.10379741,0,0.165998741,0,0,0,0.008892364,0.113443571,0.054929884,0.069063033,0.010273329,0,0,0,0,0.002647951,0.217,0.067030601,1.07783542
TCGA-UB-A7ME-01A-11R-A33J-07,0.029743681,0,0.027859188,0.18229694,0,0.111179608,0,0.070261096,0.185753397,0,0,0.034007574,0.000187979,0.176754216,0.082437361,0.06616998,0.016351464,0,0.016997515,0,0,0,0.062,0.151474879,1.038891418
TCGA-UB-A7MD-01A-12R-A352-07,0.016447811,0,0,0.030751182,0,0.166443025,0,0,0.089024968,0,0,0.082865828,0.014736516,0.12196984,0.127961456,0.221226905,0.046854486,0,0,0.078735162,0.000135655,0.002847165,0.172,0.080090955,1.075221658
TCGA-RC-A6M6-01A-11R-A32O-07,0.052996484,0,0.005416765,0.076303593,0,0.217587794,0,0.036763328,0.122727833,0,0.007965241,0.021920625,0.030132569,0.176678898,0.068698891,0.163101338,0.00847562,0,0.011231021,0,0,0,0.443,0.023316572,1.086905799
TCGA-DD-A3A8-01A-11R-A22L-07,0.111615091,0,0,0.186457713,0,0,0.034136691,0,0.01795452,0,0.066281769,0.10775609,0.036722467,0.072827915,0.1344035,0.063866315,0,0,0.167977928,0,0,0,0.578,0.005859261,1.114992508
TCGA-ED-A7PX-01A-51R-A352-07,0.00730624,0,0.007957859,0.083389398,0,0.153282835,0,0,0.080355584,0,0,0.066246891,0.048340915,0.214305329,0.049009003,0.213674759,0,0,0.052130963,0,0.011941253,0.012058971,0.106,0.121877276,1.048541756
TCGA-DD-AACZ-01A-11R-A41C-07,0.010831416,0,0.021161927,0.117682766,0,0.130834901,0,0.021546314,0.058357932,0.035931364,0,0.051021753,0.022948509,0.111706079,0.081366155,0.264011679,0.026235082,0,0.045479922,0,0,0.000884202,0.021,0.229325066,0.99666242
TCGA-DD-A39V-01A-11R-A213-07,0.000604422,0,0,0.344140929,0,0,0,0.014737723,0.171037135,0,0.012084711,0.103203991,0.054795626,0.022566346,0.086960348,0.137706413,0.017358382,0,0.034634797,0,0,0.000169177,0.342,0.039519991,1.111225456
TCGA-ZS-A9CE-01A-11R-A37K-07,0.033329453,0,0.004423049,0.015119149,0,0.134692963,0,0.140191823,0,0,0,0.093981172,0,0.146678622,0.161184574,0.196909556,0,0,0.07348964,0,0,0,0.346,0.038594834,1.093660627
TCGA-5R-AA1C-01A-11R-A41C-07,0.050960337,0,0,0.240214764,0,0.041744948,0,0.013538323,0.005501196,0,0.022162995,0.018657381,0.017882735,0,0.141359481,0.323741323,0,0,0.110747674,0,0.013488844,0,0.557,0.008967484,1.099328054
TCGA-G3-A25Z-01A-11R-A16W-07,0.02410642,0,0,0.008797997,0,0.17398721,0.005062569,0.032416211,0.057844684,0,0.025512432,0,0.014411529,0.122044265,0.066815997,0.362472537,0.070212249,0,0.036315899,0,0,0,0.243,0.059029597,1.076950677
TCGA-5R-AAAM-01A-12R-A41C-07,0.008370348,0.00059062,0,0.132091367,0,0.221498771,0,0,0.021778438,0,0,0.065528719,0.040120009,0.059988463,0.152395011,0.202274281,0.042679221,0,0.05268475,0,0,0,0.368,0.035001313,1.092791094
TCGA-ES-A2HT-01A-12R-A180-07,0.01179081,0,0.10496737,0.039274739,0,0.156942445,0,0.014217535,0.166245651,0,0,0.051748844,0.016735401,0.062529972,0.118681951,0.238548527,0.000884139,0,0.017432616,0,0,0,0.636,-0.000315665,1.08904966
TCGA-DD-A3A7-01A-11R-A22L-07,0.040288488,0,0,0.089492277,0,0.223145891,0,0.003729427,0.118292379,0,0.062813664,0.071892799,0.014446032,0.159326587,0.056504686,0.100604511,0,0,0.05946326,0,0,0,0.556,0.009067075,1.100889728
TCGA-BD-A2L6-01A-11R-A213-07,0.076532957,0,0,0.13462574,0,0.212772109,0,0,0.132973913,0,0.013879373,0.046561519,0.022530885,0.015033008,0.133923075,0.112727667,0.024415013,0,0.074024742,0,0,0,0.85,-0.022512018,1.114038294
TCGA-DD-AAE9-01A-11R-A41C-07,0.039709304,0,0,0.153586255,0,0.117586492,0,0,0.093743516,0,0,0.045774283,0.016145464,0.137282106,0.086614899,0.248038627,0.004064566,0,0.057454489,0,0,0,0.482,0.017987413,1.089378717
