"","cor","pvalue"
"FASLG",0.548553455629166,4.59623090436994e-30
"C1orf54",0.634678786957688,1.51658009148784e-42
"GPR68",0.628698866735624,1.49922264661409e-41
"CCR2",0.658853179716338,8.42083532538722e-47
"CXCR4",0.617408424389333,9.918723665056e-40
"FLT3",0.538704783991497,7.384834403427e-29
"SASH3",0.646026437581205,1.70324501338181e-44
"LAX1",0.516109594770965,3.08968066785094e-26
"LY9",0.690183237783488,6.12278751993601e-53
"GLIPR2",0.581837508116277,1.89060851551469e-34
"SRGN",0.574543574214172,1.90878040028327e-33
"ARHGAP9",0.683318030116074,1.57765973578818e-51
"NCKAP1L",0.598135614456981,8.69128796634287e-37
"ZNF831",0.626728636322503,3.1547046875127e-41
"ZBP1",0.580756095155593,2.67347334122854e-34
"CPNE5",0.528950483461238,1.05742265778176e-27
"GPR18",0.603768592800033,1.2580883044107e-37
"PTGER2",0.630925040590212,6.42682304433625e-42
"S1PR4",0.784181106872689,3.16179299431694e-77
"HCST",0.587133472278795,3.40028196048137e-35
"CCR7",0.65516622773805,3.97831256291889e-46
"EVI2A",0.637350008941144,5.36150515158616e-43
"FAM78A",0.593021673296452,4.8626588807136e-36
"FGD3",0.534950698923054,2.07807729753071e-28
"BCL11B",0.593264154433597,4.48454108250682e-36
"FGL2",0.585514229072695,5.76469869024381e-35
"RAC2",0.640189165524968,1.75552200920844e-43
"WDFY4",0.515610036609636,3.51304394886519e-26
"LSP1",0.579995838127755,3.4082168183074e-34
"GMFG",0.732645054247154,1.25336773872094e-62
"THEMIS2",0.597949705631896,9.25772045012772e-37
"LILRB2",0.52999569809045,7.98318746633972e-28
"JCHAIN",0.633099505804309,2.79103992760369e-42
"CLEC10A",0.681797928811244,3.20047726005813e-51
"ALOX5AP",0.558249948959812,2.7255938643093e-31
"GIMAP4",0.582066634450136,1.75649722761513e-34
"CD180",0.529283243833054,9.67010101068006e-28
"PTPN22",0.579093478650008,4.54287715604779e-34
"IL2RA",0.502562710987379,9.33621742148267e-25
"DOCK2",0.563131244848882,6.34496453701752e-32
"KLRD1",0.506630237574788,3.40912149088812e-25
"RAB33A",0.631381072255555,5.39843588758248e-42
"TESPA1",0.693509107064477,1.22768888080791e-53
